Date,bprice
2014-12-1,370
2014-12-2,378
2014-12-3,378
2014-12-4,377.1
2014-12-6,378
2014-12-8,375
2014-12-10,360.5
2014-12-12,350
2014-12-18,340
2015-1-8,289
2015-1-13,260
2015-1-14,120
2015-1-15,204.2
2015-1-16,199.5
2015-1-17,184
2015-1-19,225.5
2015-1-20,218
2015-1-21,225.5
2015-1-22,226.3
2015-1-23,235
2015-1-24,240
2015-1-25,254.5
2015-1-26,274.5
2015-1-27,263.7
2015-1-28,236.1
2015-1-29,235
2015-1-30,229.1
2015-1-31,218.5
2015-2-1,229
2015-2-2,237.8
2015-2-3,228.6
2015-2-4,227.1
2015-2-5,216.8
2015-2-6,223.2
2015-2-7,229
2015-2-8,224
2015-2-9,221.1
2015-2-10,220.9
2015-2-11,219.8
2015-2-12,223.2
2015-2-13,236.5
2015-2-14,256.7
2015-2-15,235.5
2015-2-16,234.7
2015-2-17,244.8
2015-2-18,237.5
2015-2-19,240.9
2015-2-20,245.3
2015-2-21,246
2015-2-22,236.8
2015-2-23,239.5
2015-2-24,239.9
2015-2-25,238.2
2015-2-26,237.1
2015-2-27,254.4
2015-2-28,255.6
2015-3-1,260.2
2015-3-2,276.7
2015-3-3,283.3
2015-3-4,273.4
2015-3-5,276.9
2015-3-6,273.2
2015-3-7,276.9
2015-3-8,275.5
2015-3-9,290.2
2015-3-10,293.5
2015-3-11,297
2015-3-12,296.1
2015-3-13,284
2015-3-14,284
2015-3-15,288
2015-3-16,292.4
2015-3-17,286.7
2015-3-18,258.5
2015-3-19,263.1
2015-3-20,263.3
2015-3-21,261.9
2015-3-22,269.5
2015-3-23,267.5
2015-3-24,246.2
2015-3-25,246.9
2015-3-26,249.9
2015-3-27,247.8
2015-3-28,253.5
2015-3-29,243.7
2015-3-30,248.8
2015-3-31,245.5
2015-4-1,247.9
2015-4-2,254.4
2015-4-3,254.8
2015-4-4,254.4
2015-4-5,261.5
2015-4-6,256.9
2015-4-7,254.3
2015-4-8,246.6
2015-4-9,244.7
2015-4-10,236.8
2015-4-11,237.9
2015-4-12,237.6
2015-4-13,225.7
2015-4-14,221.1
2015-4-15,224.4
2015-4-16,229.5
2015-4-17,223.6
2015-4-18,224
2015-4-19,224
2015-4-20,225.4
2015-4-21,235.9
2015-4-22,234
2015-4-23,236
2015-4-24,231.5
2015-4-25,227.1
2015-4-26,221.3
2015-4-27,227.6
2015-4-28,225.6
2015-4-29,225.6
2015-4-30,236.8
2015-5-1,233.1
2015-5-2,235.9
2015-5-3,240.8
2015-5-4,239.8
2015-5-5,236.8
2015-5-6,230
2015-5-7,238
2015-5-8,244.5
2015-5-9,242.5
2015-5-10,241.6
2015-5-11,242.9
2015-5-12,242
2015-5-13,236.3
2015-5-14,237.5
2015-5-15,237.8
2015-5-16,236.7
2015-5-17,237.1
2015-5-18,234
2015-5-19,232.6
2015-5-20,234.5
2015-5-21,235.8
2015-5-22,240.5
2015-5-23,239.4
2015-5-24,240.8
2015-5-25,237.4
2015-5-26,236.8
2015-5-27,237.4
2015-5-28,237.3
2015-5-29,236.9
2015-5-30,233.6
2015-5-31,230.2
2015-6-1,223.6
2015-6-2,225.9
2015-6-3,225.9
2015-6-4,224.6
2015-6-5,225
2015-6-6,225.5
2015-6-7,223.9
2015-6-8,229.1
2015-6-9,229.2
2015-6-10,228.7
2015-6-11,229.7
2015-6-12,229.5
2015-6-13,233.5
2015-6-14,233.6
2015-6-15,237
2015-6-16,251.9
2015-6-17,250.3
2015-6-18,249.3
2015-6-19,246.3
2015-6-20,246.1
2015-6-21,244.7
2015-6-22,247.5
2015-6-23,244.5
2015-6-24,240
2015-6-25,242.4
2015-6-26,243
2015-6-27,251.6
2015-6-28,249.1
2015-6-29,257.5
2015-6-30,263.8
2015-7-1,259
2015-7-2,254.9
2015-7-3,257
2015-7-4,260.6
2015-7-5,271.7
2015-7-6,269.9
2015-7-7,266.2
2015-7-8,271
2015-7-9,269.8
2015-7-10,286.7
2015-7-11,294.2
2015-7-12,312.2
2015-7-13,293.1
2015-7-14,287.5
2015-7-15,285.7
2015-7-16,279.4
2015-7-17,280.6
2015-7-18,277.7
2015-7-19,275.6
2015-7-20,280
2015-7-21,277.3
2015-7-22,277.9
2015-7-23,277.4
2015-7-24,289.1
2015-7-25,289.7
2015-7-26,293.9
2015-7-27,294.2
2015-7-28,295.8
2015-7-29,290.2
2015-7-30,288.5
2015-7-31,285.2
2015-8-1,281.5
2015-8-2,282.6
2015-8-3,281
2015-8-4,285.5
2015-8-5,282.8
2015-8-6,279.7
2015-8-7,279.9
2015-8-8,262
2015-8-9,267.6
2015-8-10,265.2
2015-8-11,272
2015-8-12,266.9
2015-8-13,264.7
2015-8-14,266.2
2015-8-15,262.5
2015-8-16,259.2
2015-8-17,257.3
2015-8-18,222
2015-8-19,227.3
2015-8-20,235.6
2015-8-21,232.9
2015-8-22,231.2
2015-8-23,229.2
2015-8-24,211.2
2015-8-25,223.7
2015-8-26,226.8
2015-8-27,225.8
2015-8-28,231.6
2015-8-29,230.6
2015-8-30,229.4
2015-8-31,230.8
2015-9-1,228.2
2015-9-2,230
2015-9-3,227.3
2015-9-4,231.4
2015-9-5,236
2015-9-6,241.3
2015-9-7,241.3
2015-9-8,244.1
2015-9-9,238.8
2015-9-10,238.5
2015-9-11,240.9
2015-9-12,236.5
2015-9-13,230.8
2015-9-14,231
2015-9-15,230.6
2015-9-16,229.7
2015-9-17,233.3
2015-9-18,233.8
2015-9-19,232.9
2015-9-20,232.2
2015-9-21,227.3
2015-9-22,231.3
2015-9-23,230.3
2015-9-24,235.3
2015-9-25,235.9
2015-9-26,234.7
2015-9-27,233.6
2015-9-28,240
2015-9-29,236.9
2015-9-30,237.1
2015-10-1,238.3
2015-10-2,238.3
2015-10-3,239.9
2015-10-4,239.9
2015-10-5,241
2015-10-6,246.6
2015-10-7,244
2015-10-8,242.9
2015-10-9,244.4
2015-10-10,246.1
2015-10-11,249
2015-10-12,246.4
2015-10-13,251
2015-10-14,253.3
2015-10-15,255
2015-10-16,263.4
2015-10-17,272.9
2015-10-18,265
2015-10-19,265.2
2015-10-20,271.1
2015-10-21,268.8
2015-10-22,275.8
2015-10-23,278.8
2015-10-24,284.3
2015-10-25,285
2015-10-26,287.1
2015-10-27,295.6
2015-10-28,304.1
2015-10-29,316.1
2015-10-30,329.1
2015-10-31,314.9
2015-11-1,329.5
2015-11-2,365.2
2015-11-3,404.1
2015-11-4,410
2015-11-5,387.2
2015-11-6,374.1
2015-11-7,384.8
2015-11-8,373.8
2015-11-9,379.5
2015-11-10,337.1
2015-11-11,313.2
2015-11-12,336.5
2015-11-13,338.1
2015-11-14,334.7
2015-11-15,322.9
2015-11-16,332.9
2015-11-17,336.5
2015-11-18,335.5
2015-11-19,326.4
2015-11-20,322.4
2015-11-21,327
2015-11-22,323.7
2015-11-23,323
2015-11-24,321
2015-11-25,329
2015-11-26,352.6
2015-11-27,358.2
2015-11-28,357.2
2015-11-29,372.2
2015-11-30,376.9
2015-12-1,362.7
2015-12-2,360
2015-12-3,361.8
2015-12-4,364
2015-12-5,388
2015-12-6,387.6
2015-12-7,394.7
2015-12-8,418.9
2015-12-9,418.4
2015-12-10,415.7
2015-12-11,453
2015-12-12,436.9
2015-12-13,433.8
2015-12-14,444
2015-12-15,464.3
2015-12-16,454
2015-12-17,455.5
2015-12-18,463.2
2015-12-19,461.3
2015-12-20,442.2
2015-12-21,436.8
2015-12-22,433.9
2015-12-23,442.4
2015-12-24,455.7
2015-12-25,455.8
2015-12-26,419.4
2015-12-27,424.7
2015-12-28,421.9
2015-12-29,433.9
2015-12-30,428
2015-12-31,430.4
2016-1-1,435.7
2016-1-2,435.4
2016-1-3,431.9
2016-1-4,433.9
2016-1-5,433.3
2016-1-6,430.9
2016-1-7,459.1
2016-1-8,454.4
2016-1-9,450.4
2016-1-10,450
2016-1-11,449.2
2016-1-12,434
2016-1-13,432.8
2016-1-14,430
2016-1-15,357.5
2016-1-16,388.7
2016-1-17,378.5
2016-1-18,384.9
2016-1-19,375.3
2016-1-20,418.5
2016-1-21,409.4
2016-1-22,382.9
2016-1-23,387.5
